PassengerId,Survived,Name,Age,SibSp,Parch,Ticket,Fare,Sex_male,Embarked_Q,Embarked_S,Pclass_ord,Age_scaled,Fare_scaled,FamilySize,Fare_per_person,Age_x_Pclass,Fare_log,AgeGroup
1,0,"Braund, Mr. Owen Harris",22.0,1,0,A/5 21171,7.25,True,False,True,1,-0.5962651056523756,-0.5024451714361923,2,3.625,66.0,2.1102132003465894,Adult
2,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",38.0,1,0,PC 17599,71.2833,False,False,False,3,0.6524257432569871,0.7868452935884461,2,35.64165,38.0,4.2805931204649,Adult
3,1,"Heikkinen, Miss. Laina",26.0,0,0,STON/O2. 3101282,7.925,False,False,True,1,-0.28409239342503484,-0.4888542575852486,1,7.925,78.0,2.188856327665703,Adult
4,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",35.0,1,0,113803,53.1,False,False,True,3,0.4182962090864816,0.4207302360686478,2,26.55,35.0,3.9908341858524357,Adult
5,0,"Allen, Mr. William Henry",35.0,0,0,373450,8.05,True,False,True,1,0.4182962090864816,-0.4863374216869257,1,8.05,105.0,2.2027647577118348,Adult
6,0,"Moran, Mr. James",29.69911764705882,0,0,330877,8.4583,True,True,False,1,0.004598503757557758,-0.47811642890864375,1,8.4583,89.09735294117647,2.246892662898172,Adult
7,0,"McCarthy, Mr. Timothy J",54.0,0,0,17463,51.8625,True,False,True,3,1.9011165921663498,0.395813560675251,1,51.8625,54.0,3.967694202798607,Middle
8,0,"Palsson, Master. Gosta Leonard",2.0,3,1,349909,21.075,True,False,True,1,-2.1571286667890788,-0.22408312108167944,5,4.215,6.0,3.0944457464900235,Child
9,1,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",27.0,0,2,347742,11.1333,False,False,True,1,-0.2060492153681997,-0.4242561406845337,3,3.7111,81.0,2.495953738718064,Adult
10,1,"Nasser, Mrs. Nicholas (Adele Achem)",14.0,1,0,237736,30.0708,False,False,False,2,-1.220610530107057,-0.04295550208861426,2,15.0354,28.0,3.436268471383741,Teen
11,1,"Sandstrom, Miss. Marguerite Rut",4.0,1,1,PP 9549,16.7,False,False,True,1,-2.0010423106754085,-0.312172377522981,3,5.566666666666666,12.0,2.8735646395797834,Child
12,1,"Bonnell, Miss. Elizabeth",58.0,0,0,113783,26.55,False,False,True,3,2.2132893043936903,-0.11384570873513637,1,26.55,58.0,3.3160025355989236,Middle
13,0,"Saundercock, Mr. William Henry",20.0,0,0,A/5. 2151,8.05,True,False,True,1,-0.7523514617660458,-0.4863374216869257,1,8.05,60.0,2.2027647577118348,Adult
14,0,"Andersson, Mr. Anders Johan",39.0,1,5,347082,31.275,True,False,True,1,0.7304689213138222,-0.01870931177853076,7,4.4678571428571425,117.0,3.4742929367327062,Adult
15,0,"Vestrom, Miss. Hulda Amanda Adolfina",14.0,0,0,350406,7.8542,False,False,True,1,-1.220610530107057,-0.4902797934380587,1,7.8542,42.0,2.180891922715322,Teen
16,1,"Hewlett, Mrs. (Mary D Kingcome) ",55.0,0,0,248706,16.0,False,False,True,2,1.979159770223185,-0.3262666585535892,1,16.0,110.0,2.833213344056216,Middle
17,0,"Rice, Master. Eugene",2.0,4,1,382652,29.125,True,True,False,1,-2.1571286667890788,-0.06199888922968463,6,4.854166666666667,6.0,3.405355391810819,Child
18,1,"Williams, Mr. Charles Eugene",29.69911764705882,0,0,244373,13.0,True,False,True,2,0.004598503757557758,-0.3866707201133388,1,13.0,59.39823529411764,2.6390573296152584,Adult
19,0,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",31.0,1,0,345763,18.0,False,False,True,1,0.10612349685914095,-0.2859972841804228,2,9.0,93.0,2.9444389791664403,Adult
20,1,"Masselmani, Mrs. Fatima",29.69911764705882,0,0,2649,7.225,False,False,False,1,0.004598503757557758,-0.5029485386158568,1,7.225,89.09735294117647,2.1071782966514356,Adult
